imdb	transphobic	showsTransphobia	transJokes	transPlayedByCis	deadTrans	title
tt4158624	1	1	0	1	0	3 Generations
tt0496424	1	1	1	-	0	30 Rock
tt0343660	1	1	1	1	0	50 First Dates
tt3100636	1	1	1	1	0	52 Tuesdays
tt5639354	?	?	0	0	0	A Fantastic Woman
tt0787484	1	1	0	1	1	A Girl Like Me: The Gwen Aruajo Story
tt0109040	1	1	1	1	0	Ace Ventura: Pet Detective
tt1602098	1	1	0	1	0	Albert Nobbs
tt0185125	1	1	0	1	0	All About My Mother
tt0066626	1	1	0	1	1	All in the Family
tt0065272	1	1	0	1	?	All My Children
tt0075658	1	1	0	1	?	All That Glitters
tt0118254	1	1	1	1	0	Ally McBeal
tt1229340	1	1	1	-	0	Anchorman 2
tt6213952	1	1	0	1	?	Anything
tt1486217	1	1	1	1	0	Archer
tt0367279	1	1	1	-	0	Arrested Development
tt0460622	1	1	0	1	0	Barbershop
tt0401248	?	?	0	1	0	Beautiful Boxer
tt1705969	?	?	0	-	0	Becoming Chaz
tt4604692	?	?	0	-	0	Becoming Us
tt0168987	1	1	0	1	0	Better Than Chocolate
tt0120601	?	?	0	1	0	Being John Malkovich
tt3823690	1	1	1	-	0	Bill Burr: I’m Sorry You Feel That Way
tt1561755	1	1	1	1	0	Bob's Burgers
tt3007302	0	1	0	0	0	Boy Meets Girl (Movie)
tt5000634	?	?	0	0	0	Boy Meets Girl (BBC Sitcom)
tt0171804	1	1	0	1	1	Boys Don't Cry
tt0460627	1	1	0	1	1	Bones
tt0411195	1	1	0	1	0	Breakfast on Pluto
tt0243155	1	1	1	1	0	Bridget Jones's Diary
tt2578560	1	1	1	1	0	Broad City
tt2467372	0	0	0	-	0	Brooklyn Nine-Nine
tt0290498	0	?	0	0	0	By Hook or by Crook
tt1444382	1	1	1	-	0	Cake Boss
tt2498968	0	1	0	0	?	Carl[a]
tt2498968	1	1	0	-	0	Catfish: The TV Show
tt0083745	1	1	0	-	0	Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean
tt2314952	1	1	1	-	0	Comedians in Cars Getting Coffee
tt1439629	1	1	1	-	0	Community
tt0452046	1	1	0	-	0	Criminal Minds
tt0090555	1	1	1	1	0	Crocodile Dundee
tt0247082	1	1	0	1	1	CSI: Crime Scene Investigation
tt2390237	1	1	1	-	0	Cuban Fury
tt0790636	1	1	0	1	1	Dallas Buyer's Club
tt7807952	1	1	1	-	0	Dave Chappelle: Equanimity
tt5512432	0	0	0	0	0	Daytime Divas
tt0288937	1	1	0	1	1	Degrassi: The Next Generation
tt0075936	1	1	1	1	0	Desperate Living
tt0116102	1	1	1	1	0	Different for Girls
tt0960136	?	?	?	0	1	Dirty Sexy Money
tt0072890	1	1	0	1	0	Dog Day Afternoon
tt4447390	0	?	0	0	0	Doubt
tt0329824	1	1	0	-	0	Dr. Phil
tt0080661	1	1	0	1	0	Dressed to Kill
tt0242423	1	1	0	1	0	Dude, Where's my Car?
tt2191671	?	?	?	0	0	Elementary
tt1582350	1	1	1	-	0	Episodes
tt3127020	0	?	0	0	0	Faking It
tt0182576	1	1	1	1	0	Family Guy
tt0155711	1	1	0	1	0	Flawless
tt0185065	1	1	0	-	0	Fox and Friends
tt0106004	1	1	1	-	0	Frasier
tt0108778	1	1	1	1	0	Friends
tt0149460	1	1	1	-	0	Futurama
tt4689752	0	?	0	-	0	Frontline: Growing Up Trans
tt0416347	1	1	0	-	0	Geraldo at Large
tt8254556	1	?	0	1	0	Girl
tt1723816	1	1	1	-	0	Girls
tt1327801	1	?	?	1	0	Glee
tt0045826	1	1	0	1	0	Glen or Glenda
tt0800289	1	1	0	-	0	Glenn Beck
tt0413573	0	?	0	0	0	Grey's Anatomy
tt0409043	1	1	1	1	0	Grilled
tt5648966	0	1	0	-	0	Growing Up Coy
tt1525838	0	1	0	0	0	Gun Hill Road
tt1500570	1	1	0	-	0	Hannity
tt4406114	0	?	0	0	0	Happy Birthday, Marsha
tt0251512	1	1	1	-	0	HBO Comedy Half-Hour
